DateTime,Power_Training_Predicted_Values
01-01-2019 04:00,29.505161
00:00.0,28.451828
00:00.0,28.490349
00:00.0,27.486374
00:00.0,10.053503
00:00.0,9.470611
00:00.0,6.8549786
00:00.0,12.257898
00:00.0,23.431147
00:00.1,39.77359
00:00.1,15.2579775
00:00.1,20.053019
00:00.1,4.101614
00:00.1,11.575031
00:00.1,10.201067
00:00.1,13.188117
00:00.1,11.458376
00:00.1,12.443538
00:00.1,17.592592
00:00.1,17.28535
00:00.1,19.994081
00:00.1,37.763287
00:00.1,35.97549
00:00.1,34.969963
00:00.1,42.59731
00:00.1,39.147614
00:00.1,37.47624
00:00.1,39.932686
00:00.1,40.557507
00:00.2,37.52156
00:00.2,40.131
00:00.2,38.193573
00:00.2,37.18928
00:00.2,37.424324
00:00.2,39.57883
00:00.2,31.098875
00:00.2,8.446587
00:00.2,4.991431
00:00.2,1.4473851
00:00.2,0.52220833
00:00.2,0.15235177
00:00.2,0.06110561
00:00.2,0.038475633
00:00.2,0.23605347
00:00.2,3.6492827
00:00.2,1.4929463
00:00.2,2.0519893
00:00.2,4.4350767
00:00.2,15.762512
00:00.3,18.050493
00:00.3,24.972208
00:00.3,37.230507
00:00.3,43.43011
00:00.3,28.13639
00:00.3,29.911703
00:00.3,26.53672
00:00.3,21.046938
00:00.3,30.27285
00:00.3,33.812386
00:00.3,29.98646
00:00.3,10.282384
00:00.3,3.5650156
00:00.3,5.6254244
00:00.3,3.7519705
00:00.3,2.0442448
00:00.3,5.89335
00:00.3,5.778708
00:00.3,5.641118
00:00.3,11.578837
00:00.4,20.371164
00:00.4,13.75587
00:00.4,10.936855
00:00.4,22.116158
00:00.4,43.677074
00:00.4,34.6376
00:00.4,22.280813
00:00.4,11.214101
00:00.4,11.766985
00:00.4,13.437428
00:00.4,10.783739
00:00.4,13.262247
00:00.4,12.7784395
00:00.4,15.2293005
00:00.4,12.322297
00:00.4,6.5316567
00:00.4,1.8327026
00:00.4,5.620403
00:00.4,19.162048
00:00.5,13.562275
00:00.5,7.524101
00:00.5,7.571589
00:00.5,26.696371
00:00.5,26.482454
00:00.5,29.45623
00:00.5,39.37994
00:00.5,37.038185
00:00.5,25.540361
00:00.5,31.765816
00:00.5,27.988985
00:00.0,39.870388
00:00.0,42.302788
00:00.0,43.5976
00:00.0,28.35194
00:00.0,28.968157
00:00.0,35.43912
00:00.0,27.022478
00:00.0,43.546074
00:00.0,38.031982
00:00.0,38.96606
00:00.0,36.18941
00:00.0,37.19618
00:00.1,21.5971
00:00.1,16.982958
00:00.1,13.602722
00:00.1,27.715294
00:00.1,32.983887
00:00.1,26.05414
00:00.1,22.262068
00:00.1,32.271248
00:00.1,24.935457
00:00.1,7.197359
00:00.1,2.613814
00:00.1,1.8333626
00:00.1,2.6592815
00:00.1,4.3442407
00:00.1,6.2493005
00:00.1,21.606707
00:00.1,7.6705894
00:00.1,2.9635565
00:00.1,1.9613523
00:00.1,8.874041
00:00.2,2.143746
00:00.2,0.46137476
00:00.2,0.057312608
00:00.2,0.056052208
00:00.2,0.09921807
00:00.2,0.13505024
00:00.2,0.27753192
00:00.2,1.0890253
00:00.2,1.782831
00:00.2,3.1967921
00:00.2,1.8646595
00:00.2,1.0086557
00:00.2,0.25547588
00:00.2,0.0636158
00:00.2,0.079924345
00:00.2,0.13381776
00:00.2,0.41212663
00:00.2,2.4461975
00:00.2,9.882845
00:00.2,24.57426
00:00.3,31.471573
00:00.3,30.448095
00:00.3,19.950342
00:00.3,21.9833
00:00.3,13.044746
00:00.3,36.463734
00:00.3,13.007225
00:00.3,24.12914
00:00.3,8.365654
00:00.3,22.536123
00:00.3,46.578686
00:00.3,15.535393
00:00.3,15.91669
00:00.3,3.916209
00:00.3,21.174788
00:00.3,21.612083
00:00.3,22.199114
00:00.3,19.793184
00:00.3,16.156984
00:00.3,24.346046
00:00.4,23.509275
00:00.4,30.416073
00:00.4,27.542439
00:00.4,24.482668
00:00.4,39.2896
00:00.4,43.115963
00:00.4,25.793072
00:00.4,24.538214
00:00.4,20.087782
00:00.4,1.186405
00:00.4,1.3460073
00:00.4,1.3744526
00:00.4,2.7400646
00:00.4,4.0239043
00:00.4,4.369692
00:00.4,7.701543
00:00.4,6.8197155
00:00.4,23.543465
00:00.4,14.199905
00:00.5,30.01116
00:00.5,46.594425
00:00.5,41.984367
00:00.5,40.32164
00:00.5,42.136417
00:00.5,31.654526
00:00.5,23.547703
00:00.5,26.727987
00:00.5,44.823402
00:00.5,48.553997
00:00.5,41.280815
00:00.0,46.51949
00:00.0,48.19726
00:00.0,35.917164
00:00.0,15.643553
00:00.0,25.079145
00:00.0,36.10289
00:00.0,38.803867
00:00.0,42.794487
00:00.0,40.696075
00:00.0,44.16701
00:00.0,37.898506
00:00.0,46.623764
00:00.0,44.225925
00:00.0,50.027508
00:00.0,44.547115
00:00.0,47.345192
00:00.0,48.31196
00:00.0,42.70593
00:00.0,33.451607
00:00.0,32.617264
00:00.0,42.741997
00:00.0,29.672934
00:00.0,20.92433
00:00.0,17.85387
00:00.0,5.5730247
00:00.0,11.0426445
00:00.0,3.2378185
00:00.0,0.4423769
00:00.0,0.28077272
00:00.0,0.043000102
00:00.0,0.09592539
00:00.0,-0.008140385
00:00.0,-0.003181577
00:00.0,0.058413506
00:00.0,0.07848835
00:00.0,1.8754244
00:00.0,4.0741034
00:00.0,5.346856
00:00.0,12.150165
00:00.0,25.168787
00:00.0,22.214874
00:00.0,31.799467
00:00.0,35.126408
00:00.0,35.60424
00:00.0,39.72638
00:00.0,30.982332
00:00.0,37.3512
00:00.0,38.31095
00:00.0,40.715073
00:00.0,44.56948
00:00.0,43.663853
00:00.0,16.716124
00:00.0,21.397398
00:00.0,27.691021
00:00.0,27.374533
00:00.0,31.87504
00:00.0,36.120113
00:00.0,37.072506
00:00.0,31.047218
00:00.0,44.80697
00:00.0,47.477795
00:00.0,54.451263
00:00.0,52.858074
00:00.0,54.723408
00:00.0,53.477768
00:00.0,52.494064
00:00.0,54.012836
00:00.0,53.586445
00:00.0,50.35111
00:00.0,50.747337
00:00.0,47.92875
00:00.0,46.65374
00:00.0,52.086838
00:00.0,53.439636
00:00.0,43.773933
00:00.0,26.99972
00:00.0,16.775509
00:00.0,12.450526
